Idea reference,Idea name,Idea categories,Idea assigned to,Idea status,Idea created date,Idea votes,Idea tags,Idea description,Created by email domain,Idea portal comments,Idea voter email domains
DFE-I-192,Promoting EHR Interoperability within CPSI. ,Dream Factory,Default (Unassigned),Needs Review,2022-07-29 14:42:57,1,,Now is the right time to move this forward with CPSI as we have acquired new companies and we all need to be able to speak to one another seamlessly through the many different EHR programs/applications we use. I am very flexible in roles and my experience reflects that so please include me on your team.,trucode.com,,trucode.com
DFE-I-193,Renew Orders,Order Management,Default (Unassigned),Shipped,2022-07-31 23:17:45,3,,Should create a portion within e-sign or tasks folders for renew orders in addition to the print feature that was posted on 6/22/21.,okmh.org,"Michelle Mason Aug 3, 2022
On a call with AHMC pharmacy directors. This is a big item of concern for them.

Michelle Mason Oct 30, 2023
The Pharmacy Orders folder was added with 21.04.00","tjsh.org,okmh.org,evident.com"
DFE-I-196,Checklists/pathways built on regulations and also allow local policy ,Patient Data Console,Default (Unassigned),Product Owner Review,2022-08-02 15:20:02,5,,"PDC is a nice new enhancement to the CPSI vision, but what would be even better is if this would also be able to function as a checklist for the users. Vision would be something like; (inpatient checklist nurse - have all the regulatory screenings (sepsis, CM, fall assessment, patient safety goals, and then our facility policy/procedures)

or

Clinic patient once check-in MA checklist would populate driven off the chief complaint - Well Child Check checklist (ht/wt, vital signs, hearing/vision screening, immunizations, age specific screenings) when you click on the check list options functions similar to PDC , but the change would be you don't get launched to new screen when you click on ht/wt & vitals a sub-template pops-up you enter and close to save.",okmh.org,"sara downing Dec 28, 2022
I like the first part for inpatient, we really need a working checklist to make sure task are complete and trigger those sections to answer or fill out. Providers could certainly use a checklist as well; problem list, med rec, orders, charges, daily note...","nrmchealth.com,madriverhospital.com,okmh.org,wcmhosp.org,cmhcare.com"
DFE-I-197,Notes Filter: Abnormal Lab Results display in red on list format,"Ancillary,Notes",Default (Unassigned),Product Owner Review,2022-08-02 20:31:57,20,,"Notes lab filters formatted as lists should display the abnormal results in red, the same way that they are set up in table format. This will allow providers to easily distinguish abnormal results within the lists. Some providers prefer having the lab filter in list format over table format because it takes up less space in the note, but they do not have the advantage of easily finding the abnormal results that the Table format has. Displaying the abnormal results in red for the Lab Filter List would allow equal benefits for users using the different formats, and providers will be able to identify critical results to which they have addressed or plan to address in their Note.",ahmchealth.com,"Leona Leung Aug 2, 2022
That is a great suggestion! It would help tremendously with our providers while looking back at progess notes, etc. :)","caldwellmedical.com,fcmh.biz,eocmhospital.com,gcmc.org,rch-lyons.com,jackhosp.org,pchsgrant.com,bhsh.com,putnamgeneral.com,nrmchealth.com,starrcountyhospital.com,eomchospital.com,artesiageneral.com,interhealthcanada.tc,noconageneral.com,spartahospital.com,westholtmed.org,ahmchealth.com"
DFE-I-199,search by number ,Tracking Board | Patient Search,Default (Unassigned),In Development,2022-08-03 20:20:14,4,,the ability to search by number when searching in charts,cozadhealthcare.com,"Lynne Backus Oct 3, 2022
Under tasks have the ability to search by number","cfhis.org,cozadhealthcare.com,aslh.org,noconageneral.com"
DFE-I-200,Charge set updates,"TruBridge EHR - Clinical,TruBridge EHR - Financial",Default (Unassigned),Needs Review,2022-08-03 20:38:02,9,,"When setting up charge sets, it would be helpful to be able to search by item number OR description. Also, being able to change the displayed description would be helpful for clinical staff. Sometimes what the item is called according to purchasing is not what a nurse calls the item. Similar to setting up physician order sets and changing the 'long description'",monroesurgical.com,"carole.alaimo@ahmchealth.com Oct 24, 2022
The charge set creation definitely needs to have the item number shown within the SETUP and EDITING of the charge set. Currently the only way to know what items# are in the charge set or being charged is to look at the acct detail AFTER it is posted.

Clarissa Calhoun Mar 17, 2023
Need the ability to search by CPT Code and 40 character long description

sara downing Apr 23, 2024
This is such a bummer part of the system. You cannot edit, modify, or run reports in this area. We need to be able to generate a report to see what is listed for changes.","fcmh.biz,labettehealth.com,gibsonhospital.org,bradenhealth.com,madriverhospital.com,chomepgh.org,artesiageneral.com,evident.com,monroesurgical.com"
DFE-I-201,BMI update,Vital Signs,Default (Unassigned),Product Owner Review,2022-08-04 18:53:28,2,,"When the Height or weight is entered individually, the BMI in the Vital signs doesn't update and the BMI does not update the BMI filter in the Notes application. Must enter both Ht & Wt at same time for the BMI to update.

Only exception currently is that the BMI will update in the Patient Banner but no where else.",bhsh.com,,"bhsh.com,interhealthcanada.tc"
DFE-I-202,Medication filter in Notes for Meds Given,Medication Management,Default (Unassigned),Needs Review,2022-08-04 19:02:01,2,,"In Notes application, there needs to be a filter option to pull what Medications were GIVEN (with Date/Time) as documented on eMAR or through Order Chron Administered. The current filters of ordered and start date/time does not capture if and when a medication was given.",comanchech.com,,"bhsh.com,hrrmc.net"
DFE-I-205,Allow SNOMED mapping based on available CPT Crosswalk ,Ancillary,Default (Unassigned),Product Owner Review,2022-08-08 15:44:44,8,,"When setting up radiology items, it would be helpful if the system presented SNOMED code options based on the CPT code entered in the item rather than having to guess at a code, not knowing if it is actually correct. The AMA SNOMED to CPT crosswalk exists for this purpose. Given current development of functionality using SNOMED codes in the software, it is imperative that the correct codes are mapped. It only makes sense that the software helps in this process.",prmc.org,,"prmc.org,fcmh.biz,tsjh.org,cozadhealthcare.com,pchsgrant.com,aslh.org,kingmanhc.com,kchc.net"
DFE-I-206,Future Orders allow multiple physicians orders to be released,Order Management,Default (Unassigned),Product Owner Review,2022-08-08 18:30:48,24,,"Currently Future Orders can only be released for one physicians. It is common that another provider will order a test, or an add-on test. Or a physician retires and the orders are good for a year, the new provider would like to add a test, but they cannot be released to the same account number. You can currently add orders from multiple physicians when lab places orders.",cmhcare.com,"Clarissa Calhoun Jul 12, 2023
Patients that have multiple future orders from different providers requires staff to create an account for each provider that has a future order. This is so that providers can receive an alert when the order is completed and ordering provider is name is on the results. Ancillary can manually enter in a different provider's order via Department Order Entry Screen. They can change the ordering provider to the other one; however, the other provider will get notification in their task to sign off on order. This is not the same as releasing another providers future order. Currently no one can release another providers order after another provider's future orders have been released. This results in registration of multiple same day accounts and each will have charges, orders, and results.


This also requires a lot of time for Revenue Cycle and Medical Records to clean up and correct. Insurance payers typically require same day Hospital Outpatient Services are billed on one account. If the accounts are not combined or one gets missed, billing team is looking at rebill, fighting denials/appeals, and/or have to write-off. Staff have to run a readmissions report to find same dates of service accounts. Review each account account detail, order, and results, to verify that the accounts are truly same day. Manually Transfer Charges all OP same day charges to one account. There is not way of ""merging clinical EHR Chart"". Medical Records will typically download/print orders and results then upload/scan from all into the one account. Code the account. The left over same day accounts are out there as duplicates and can no longer be used. So staff have to make sure that they remove insurances off and make sure AR balance so it can purge to clinical history.

Lori Luciano Jul 28, 2023
Future Orders needs to allow more than 1 provider to enter orders to an account","prmc.org,caldwellmedical.com,eocmhospital.com,bhsh.com,westholtmed.org,fcmh.biz,slhd.org,fallonmedical.org,kimballhealth.org,mcphersonhospital.org,pchsgrant.com,yahoo.com,kingmanhc.com,evident.com,monroesurgical.com,spartahospital.com,masondistricthospital.org,decaturhealth.org,girardmedicalcenter.com,cmhcare.com,arbucklehospital.com"
DFE-I-208,"In Prescription Entry tab, allow Sort option to continue to Unprocessed if any, but then allow it to be stickly",Medication Management,Default (Unassigned),Needs Review,2022-08-08 18:56:07,4,,Users at our site have asked if the sort could stay on Med Name instead of Start Date. It would help if this was sticky so that different users and roles could default it as needed. But please leave Unprocessed as default if there are any still unprocessed.,cmhcare.com,,"gmail.com,lgh-jena.org,cmhcare.com,menaregional.com"
DFE-I-209,"Allow for option of ""patient refusal"" for Immunizations. ",Medication Management,Default (Unassigned),Open for Comment,2022-08-08 19:27:59,5,,"It may appear that the staff failed to enter immunization status, when in reality, the patient refused. When this screen is blank, the reader must search through the chart to find the correct information regarding this information. It is an unnecessary delay of time.",noconageneral.com,"Michelle Mason Jan 31, 2024
If an ordered vaccine is refused, the dose should be Omitted with the reason documented.

If the patient states that they refuse a flu vaccine, it may be entered in Immunization History and marked Excluded with a reason entered.

Are you wanting to mark other historical vaccines as refused? Which ones?

Roxie Montgomery Feb 1, 2024
I believe what she means is under the patient immunization history application we need a way to indicate the patient refused vaccines. Or at least that is what I would like to see so we can go to one spot and know if they have been vaccinated or refused to be. I don't see a way to mark anything excluded in Immunization history.

Michelle Mason Feb 1, 2024
Right now it's just for influenza. Would you expect this for all vaccines?

Roxie Montgomery Feb 1, 2024
I did figure out how to mark a vaccine refused. Add new, choose the vaccine, change status to excluded instead of active then the reason option becomes active and you can put patient refused.

Roxie Montgomery Feb 1, 2024
Yes, all vaccines.","fcmh.biz,janetoddhospital.com,ajmchc.org,desotoregional.com,noconageneral.com"
DFE-I-212,Date on each page of Patient Progress Notes,Documentation,Default (Unassigned),Open for Comment,2022-08-08 21:18:30,38,,When patients documentation purges to clinical history - that is the only way we are able to view and keep patient records. When you look at the progress notes each page does not have the date of the documentation. So you have to remember when looking at notes what date you are looking at. This is hard when reviewing to follow what day the things documented were actually performed on.,wnmh.org,"Janna Sartin Dec 21, 2023
The date that shows is the date it was purged 3 months after the document was made. The date that it should show up as is the date the document was made.

kokie.geronimo@ahmchealth.com Jun 19, 2024
We see the date but it only shows on top of the form So when they are reviewing page 4 for example they have to scroll to page 1 just to make sure that is the right date. Imagine if there is 300 pages total and you would need to scroll up and down to figure out the date instead of it being on every page. This is a clinical review of importance request. We do so much audits that the date should reflect on the page you are looking at.","prmc.org,caldwellmedical.com,chal.org,rch-lyons.com,rpmh.net,allenhealth.net,wnmh.org,jackhosp.org,cozadhealthcare.com,interhealthcanada.tc,gcdmc.org,gmail.com,lgh-jena.org,surgeonschoice.com,ahmchealth.com,gvhospital.org,fcmh.biz,gh-health.org,gibsonhospital.org,pchsgrant.com,yahoo.com,grmf.org,att.net,dalemedical.org,madriverhospital.com,starrcountyhospital.com,kingmanhc.com,eomchospital.com,kchc.net,cullmanregional.com,chomepgh.org,monroesurgical.com,noconageneral.com,wcmhosp.org,girardmedicalcenter.com"
DFE-I-213,Customize vital signs,Vital Signs,Default (Unassigned),Product Owner Review,2022-08-08 21:20:10,23,,"Be able to customize vital signs in flow charts - we need to have option for bi-pap, and other things and what is already hard coded there are things we dont use.",wnmh.org,"Jeanette  Adams  Sep 1, 2022
I have had many requests for Method of Oxygen to be edited to include OxyMask and to delete T-Piece.","prmc.org,caldwellmedical.com,labettehealth.com,mygcgh.org,hillsdalehospital.com,gibsonhospital.org,thcs.org,wnmh.org,kimballhealth.org,jackhosp.org,cozadhealthcare.com,grmf.org,dalemedical.org,bhsh.com,woodlawnhospital.com,lindsaymunicipalhospital.com,ajmchc.org,madriverhospital.com,starrcountyhospital.com,mchcare.com,chomepgh.org,evident.com,commonspirit.org"
DFE-I-214,Have ability to run both clinical and financial data on reports both canned and ahoc,"TruBridge EHR - Clinical,TruBridge EHR - Financial",Default (Unassigned),Product Owner Review,2022-08-09 12:29:08,12,TruBridge Analytics,"We report as do many other facilities to different grants, state, and federal agencies. Which usually require clinical data and financial for submission. In many cases we have to run two different reports.",starrcountyhospital.com,,"fcmh.biz,gibsonhospital.org,pchsgrant.com,yahoo.com,starrcountyhospital.com,kchc.net,evident.com,monroesurgical.com,rvmc.org,gcdmc.org,lgh-jena.org,ahmchealth.com"
DFE-I-215,Better separation of information in WebClient,Thrive Web Client,Default (Unassigned),Product Owner Review,2022-08-09 15:23:55,7,,"alternating colors on the white board and the grid lines in the Lab application cumulative would really enhance the ease of finding information. The are present in Thrive UX, but not in webclient",mchcare.com,"KAREN ST BLANC Dec 8, 2023
The Tracking Board has more definition.","ahmchealth.com,prmc.org,choctawregional.com,mchcare.com,interhealthcanada.tc,cmhcare.com,franklinfoundation.org"
DFE-I-217,One-Page Handoff Shift Report/More customization for 24-Hour Patient Summary,TruBridge EHR - Clinical,Default (Unassigned),Product Owner Review,2022-08-09 18:26:51,10,,"Create a one-page handoff report, similar to 24-Hour Summary or Shift Summary that nurses can use as their handoff communication to the next shift. The 24-hour Summary/Patient Summary report is an excellent resource, but loads too many pages per patient because of the lack of customization to remove certain categories such as the graphic vitals/I&O and immunizations. For nursing departments that have long-stay patients or higher ratios, having a singular page per patient, or even for their whole assignment, would be efficient to their workflow and help them communicate pertinent information to the oncoming nurse.",ahmchealth.com,"Mary Ruckart Nov 28, 2023
Hi Maryanne, have you guys looked into using Patient Data Console for that? You can create a Shift Summary board and delimit to cards to just the information you need for handoff.

Maryanne B Nov 30, 2023
Hi Mary, thank you for your response. I did test the Patient Data Console and created a Nursing Shift Board. I especially appreciate the new cards for demographics and most recent vitals as they are great snapshots of important information. It would be great if there were a printable version of the board similar to the 24hr patient summary that nurses can use to write notes and ""scribble"" on when doing their rounds. They are already printing/creating their own ""handoff"" sheets, so having all the data on a single page with room to add updates would greatly improve their current workflow.

Linda Pfeifle Jan 25, 2024
This would be great if it would be more customizable. We have one shift print it off for the next shift and noticed that if the start date/time isn't here yet, then the medications do not show up on the sheet. There is an option to add future medications but then it adds all future medications no matter what the start date/time which isn't good either. Like you said, it needs to be customizable so they can pick and choose what to be on there. I know Thrive says best practice is to use the computer, but sometimes they just need that sheet of paper to jot things down, remind themselves of things, etc.","caldwellmedical.com,osshealth.com,interhealthcanada.tc,ahmchealth.com,vermont.gov,yahoo.com,cullmanregional.com,artesiageneral.com,monroesurgical.com,alhnet.org"
DFE-I-218,Display account balance from charge entry and AR Receipt entry screen,AR | Revenue Cycle,Default (Unassigned),More Information Needed,2022-08-09 21:19:58,7,,"I would like to be able to see the account balance once I enter the patient account for charge entry and AR Receipt entry, similar to receipts batch entry screen.",gcdmc.org,"Cheryl Holberg Dec 7, 2023
Need a little more information on the request to see account balance when charging, as charges would not be reflected on account balance until the charges are posted. Is the request to display current AR balance or what the account balance would be when each charge is added?

Dedi Hallman Dec 7, 2023
I can't speak for others on this, but I do know that I, and others that I work with, would like to see the current account balance when putting payments and charges in.","fcmh.biz,yahoo.com,putnamgeneral.com,interhealthcanada.tc,evident.com,gcdmc.org,lgh-jena.org"
DFE-I-219,I & O,Vital Signs,Default (Unassigned),Open for Comment,2022-08-09 21:41:39,4,,"When we enter a drain site: e.g. IR Drain 1 and IR Drain 2, it would be nice if it would remain so that the next shift can enter on the same row. We get too much staff calling drains by different names and it is hard to total it all up.",spartahospital.com,"Michelle Mason Jan 23, 2024
When you say ""row"", are you referencing the Flow Chart row or the Console I&O Card row?

Lori Luciano Jan 23, 2024
Row in the Vital Signs Icon. If the exact verbage is not used then the same drain could have multiple titles

Michelle Mason Jan 23, 2024
Thank you. That's helpful.","rch-lyons.com,yahoo.com,bhsh.com,spartahospital.com"
DFE-I-220,Make Web Client log you back in to where you were when timed out,"Security,Thrive Web Client",Default (Unassigned),Already Exists,2022-08-10 14:43:13,58,,Web Client should let you log back in when timed out and open where you were originally working. This is a very big work flow issue.,keefemh.org,"Michelle Mason Nov 6, 2023
Can you elaborate on where you are in the system when it does not log you back to the page you were on? I have tested with the auto time out and with locking manually. When entering my password, I am taken back to the screen I was on even if a dialogue window was open.

Jeanette  Adams  Nov 7, 2023
Using Imprivata to autofill username and password, when it times out due to inactivity, it gives you the option to sign out or resume. If you select resume, it will act like it is logging you back in, but then it gives you a screen message to contact system administrator for password reset. If you select sign out it will auto fill your login information and sign you back in to TWC, but takes you back to the Home page/Task screen.

Michelle Mason Nov 7, 2023
In this case, autofill is filling in both the username and the password, however, the only open field is the password. If I type my password then tab (to the Forgot Password option), I get the same message when clicking Enter. Typing in my password and then clicking Sign In or Enter resumes my session as it was. Have you tested with just entering your password?

Cassi Loutzenhiser Nov 7, 2023
We don't even have a time out set and randomly throughout the day it just signs me out and I'm back on the main login page again. I haven't been able to find the cause of getting signed out at all since we don't have an auto sign out it should keep me logged in all the time but it doesn't. I'll have 3 tabs open and lock my windows screen and go do stuff and when I come back all 3 tabs are logged out all the way to the beginning login screen again. Only happens on Web Client for me.

Jeanette  Adams  Nov 8, 2023
It autofills the password line (assuming with my username) and processes automatically. It doesn't give me a chance to only enter the password. The staff really does not want to have to manually enter their password and so would rather lose their last screen and have the autofill, but it would be nice if the autofill would just enter the password and not both and they could resume where they were at.

Michelle Mason Nov 8, 2023
You may want to open a situation to review your setup. Department setup overrides facility.

Michelle Mason Nov 8, 2023
This would be an issue to review with your autofill application. I'd imagine that if you highlighted your user name it might work but understand you may not want to do that.

KAREN ST BLANC Nov 8, 2023
Our experience is when timed out and ""Resume"" is selected, we are taken to the screen that was open when timed out.

Cassi Loutzenhiser Nov 8, 2023
I haven't opened a Sit yet but I did know that Department Setup overrides facility as we had a major issue surrounding that BUT when you are in Web Client you aren't in System Menu and you aren't changing your Department so how does Web Client know what Department you are in to follow that setup? Because of the major issue we were having we already removed or extended to max all the Department time outs so I wouldn't think this would affect it anyhow but just a minute ago I got completely signed out yet again and it goes all the way to the initial login screen, not the ""signed out"" screen where you just enter your password and can get right back to the same exact screen you were on so I was under the same impression this other person was that it didn't function correctly in Web Client but you're saying if you get timed out in web client that you should get the same locked screen you get with Thrive UX? If so then I have a totally different issue going on and I suppose I should put a Sit in.

Michelle Mason Nov 8, 2023
Yes. It sounds like something outside the Resume. If you click on your initials in the top, right and then click Lock, you'll see how the time out should function.

Cassi Loutzenhiser Nov 8, 2023
Thanks for clarifying! Unfortunately, now I know I need to open a Sit since my issue is disconnected from this lol","prmc.org,caldwellmedical.com,chal.org,wardmemorial.com,hillsdalehospital.com,gcmc.org,mmcenters.com,rch-lyons.com,medinamemorial.org,tsjh.org,allenhealth.net,parkplacesurgery.com,jackhosp.org,bunkiegeneral.com,osshealth.com,keefemh.org,cozadhealthcare.com,bhsh.com,woodlawnhospital.com,putnamgeneral.com,interhealthcanada.tc,gmail.com,ochonline.com,lgh-jena.org,mclaren.org,bayoubendhealth.org,cvhealth.net,westholtmed.org,franklinfoundation.org,cranememorial.org,surgeonschoice.com,ahmchealth.com,fcmh.biz,labettehealth.com,gibsonhospital.org,cahny.org,bradenhealth.com,yahoo.com,grmf.org,dalemedical.org,lindsaymunicipalhospital.com,madriverhospital.com,lapazhospital.org,kingmanhc.com,eomchospital.com,chomepgh.org,artesiageneral.com,rvmc.org,spartahospital.com,decaturhealth.org,pchd.net,cmhcare.com,arbucklehospital.com"
DFE-I-222,"NOTIFICATION ALERTS-  FOR NEW ORDERS, INBOX COMMUNCATIONS  ","Communication Center,Order Management,Thrive Web Client",Default (Unassigned),More Information Needed,2022-08-10 16:57:02,37,,"Would like some type of notification alert to visibly see and hear ((color change, flashing-light, asterisk ,or ding))when there is a new communication message, new physician order, etc. in the EMR.",vmhospital.com,"monicas@cozadhealthcare.com Aug 1, 2023
This would be very helpful for pharmacist order verification in web client!

Stephanie St. Andrie Dec 26, 2023
A notification exists for new orders via the Verify Orders Badge as well as the Tracking Board Verify Orders icon. This was available with the 2104.00 release in Web Client. We have also added a notification to the Tracking Board for medication reassessment which is available on the 21.06.00 release. We have more notifications in the planning stage. New communication message notification is mentioned. I think you are referring to a new Communication Center message. I would like more information on specific notifications requested and your thoughts on priority for addressing them.

Felicia McDonel Dec 26, 2023
I know the ancillary departments would like an audible alert. They are not always right at their desk or they are with other patients, etc. This was a feature in Healthland years ago. The ancillary departments don't work off the orders page that the nurses do.

Tracie Bastien Dec 27, 2023
TWC does not work entirely for registration and medical records. 2 of the departments that would use communication center the most. The Electronic File Management application does not function properly in TWC, I can't have them use TWC system menu for some functions and TUX system menu for other functions, that is asking for mistakes to happen. Either ALL departments of a hospital have to be fully on TWC to safely use Communication Center, OR there needs to be an alert available when TWC screen is not what your working in, similar to when your in an online store, and you have asked a question to the live online chat, while waiting for an answer from the rep, you can navigate around your other applications, leaving the chat open in the background. When the rep replies to you, you would hear an alert, or the Chrome window button on the bottom task bar would flash, etc.Evident's Communication Center needs an alert to notify users that have TWC running in the background (for instance when they just use it to log in and navigate to TUX System menu) that there is a new fax, text, mail message.","prmc.org,caldwellmedical.com,rheamedical.org,rch-lyons.com,vmhospital.com,allenhealth.net,reaganhealth.com,cozadhealthcare.com,choctawregional.com,woodlawnhospital.com,putnamgeneral.com,haa.ai,ajmchc.org,gmail.com,lgh-jena.org,grapehospital.com,westholtmed.org,surgeonschoice.com,ahmchealth.com,fcmh.biz,gh-health.org,kimballhealth.org,upmc.edu,grmf.org,lindsaymunicipalhospital.com,chomepgh.org,artesiageneral.com,monroesurgical.com,pinevillehospital.org"
DFE-I-223,accessing your workspace from any computer,"Security,Thrive Web Client",Default (Unassigned),Product Owner Review,2022-08-11 19:47:53,5,,When you log in no matter where you are working from that what is on your main computer would pull over. Example if I am in the middle of something in my office and I need to go fill in somewhere else it would be helpful to log in with my info and it pull up everything I was working on. The place I use to work at was like that it was very helpful.,pinevillehospital.org,,"prmc.org,cozadhealthcare.com,putnamgeneral.com,lgh-jena.org,pinevillehospital.org"
DFE-I-224,Provider discharge instructions for outpatient surgery (could be all instructions),"Documentation,Electronic Forms,Flowcharts",Default (Unassigned),Product Owner Review,2022-08-12 17:24:40,6,,"our providers in OR would like to write and/or have easy access to the patients discharge instructions. right now they place discharge orders, we use eforms for discharge instructions in surgery and flowcharts for IP, however they would like to see the discharge instructions and edit them themselves, this would also save the nurse from having to copy what that provider put in discharge order set back into the discharge flowchart that flows to their discharge instructions.",hillsdalehospital.com,"Michelle Mason Oct 18, 2023
Discharge orders may be marked to ""Print to the Discharge Instructions"" in the setup of the Nursing Order. These orders may also be pulled into an Order Set to indicate (via Header) which orders will print to the patient document. This eliminates the need for re-entering in a flowchart.

Lori Luciano Oct 19, 2023
This feature to add to discharge instructions should also be allowed on the order sets. There are only so many lines within Nursing Orders to enter instructions.","hillsdalehospital.com,rch-lyons.com,dalemedical.org,bhsh.com,monroesurgical.com,surgeonschoice.com"
DFE-I-225,ABILITY FOR RAD TECHS TO DOCUMENT CONTRAST USED AND WASTE AMT,Ancillary,Default (Unassigned),Product Owner Review,2022-08-12 21:37:27,22,,"The only way to document contrast use when completing exams that utilize it is by associating the contrast items to the exam item ordered. Currently, it's only possible to answer YES or NO to contrast use which leads to charges dropping for the entire 100ml bottle. CMS and insurance companies look for the amount of contrast used and the amount wasted and it causes problems when accounts are submitted for billing. The way that waste amounts are currently documented is cumbersome and not easily within the workflow for Rad Techs. There isn't a way on the order maintenance screen where the tech completes the exam that allows them to enter the amount of contrast used and the amount wasted...there needs to be some sort of option that allows them to capture the documentation without going outside their normal workflow.",artesiageneral.com,"Susan Gutjahr Aug 3, 2023
I agree with Mark that contrast use and waste by the radiology tech must be addressed. CMS recently placed a requirement that we use a modifier to show no waste vs waste and the currently process can lead to fraudulent billing because there is not a field to document waste of the 100ml bottle. I realize this must be coordinated with billing so that the appropriate modifier drops on the waste line vs the non-waste line but the time has come. Also, there has to be a way for ADM facilities to identify this to charge on admin by radiology outside the use of a MAR.","prmc.org,schcmed.com,caldwellmedical.com,hillsdalehospital.com,gcmc.org,rpmh.net,cozadhealthcare.com,yahoo.com,bhsh.com,nrmchealth.com,madriverhospital.com,aslh.org,eomchospital.com,artesiageneral.com,spartahospital.com,lgh-jena.org"
DFE-I-226,Allow admin users to add Notes templates and Filters to providers' My Favorites View,Notes,Default (Unassigned),Product Owner Review,2022-08-12 22:26:55,72,,"As more doctors are moved to Notes, we want to give them the most pleasant experience as they transition to a new documentation platform. One feature that would be most helpful is allowing users with administrative Notes access to add Templates and Filters to the providers' Favorites, so they can easily find them on the My Favorites View pane in the Create Note window. This will save them additional clicks and extensive instruction as they are being set up to use Notes. Similar to Title scripting for physicians in Documentation that click on the Document type and their template automatically pulls, admin users can create this title script for the provider. Notes would make a great first impression on providers if they can see that their templates and filters have already been set up as their favorites so they can start using it right away, instead of having them look for them in the extensive template library and filter toolbox.",ahmchealth.com,"Stephanie Yoder Dec 4, 2022
Yes Yes Yes!

We want to make training a new provider as seamless as possible. I like to have everything ready to go for them the firt time they login. So, when setting up a new physician I sign in as them, set the labs to comparative view, set the clinical hx filters to what is typically needed, change the patient summary view to what they typically would want to see and add their notes templates to their favorites. Then reset their password. It would be nice to be able to do all of this without having to sign in under there user.

Linda Pfeifle Jan 24, 2024
This would be great! We all know providers are busy and want everything ready to go, and we want to give them the best tools to do their job. To be able to push out new templates to users as they are created would be awesome as we cannot always count on the users to add the templates themselves.","tcmh.org,prmc.org,schcmed.com,caldwellmedical.com,pomerenehospital.org,trhospital.net,psnaffiliates.com,rch-lyons.com,medinamemorial.org,jchealthcare.com,cameronregional.org,rpmh.net,allenhealth.net,bunkiegeneral.com,chsi.org,cozadhealthcare.com,tcmh.com,bhsh.com,putnamgeneral.com,ajmchc.org,pmhnet.com,iberiamedicalcenter.com,interhealthcanada.tc,gmail.com,lgh-jena.org,lifecare-health.com,cpsi.com,mclaren.org,bayoubendhealth.org,cvhealth.net,westholtmed.org,franklinfoundation.org,surgeonschoice.com,ahmchealth.com,fcmh.biz,labettehealth.com,gibsonhospital.org,arkansasmethodist.org,taoshospital.org,kimballhealth.org,upmc.edu,bradenhealth.com,yahoo.com,grmf.org,sweetwaterhospital.org,mckenziehealth.org,madriverhospital.com,lapazhospital.org,mchcare.com,protonmail.com,bgh.org,eomchospital.com,chomepgh.org,artesiageneral.com,evident.com,monroesurgical.com,rvmc.org,hrrmc.net,wcmhosp.org,spartahospital.com,cmhcare.com"
DFE-I-227,Search for Patient By Address or Phone number,Tracking Board | Patient Search,Default (Unassigned),Product Owner Review,2022-08-15 20:56:55,9,,"Often we have paperwork and we can only read the address or phone number, or a patient will call in and get disconnected. It would be nice to be able to search these fields so that we know what patient we are dealing with.",kimballhealth.org,,"fcmh.biz,labettehealth.com,magnoliarmc.org,kimballhealth.org,cozadhealthcare.com,kchc.net,interhealthcanada.tc,lgh-jena.org"
DFE-I-229,Order Surgery Procedures in CPSI,Order Management,Default (Unassigned),Product Owner Review,2022-08-15 21:03:54,2,,Would like to be able to order surgical procedures in CPSI that would go to a report like Radiology do that can then be printed for Pre Certification. Right now we still have to hand write surgical procedure orders and it is not ideal.,kimballhealth.org,,"kimballhealth.org,interhealthcanada.tc"
DFE-I-230,Resolve Multiple Problems at a Time,TruBridge EHR - Clinical,Default (Unassigned),Needs Review,2022-08-16 15:13:41,3,,Need to be able to select multiple problems and resolve at once instead of having to open each diagnosis needing to be removed and entering resolved date one by one,choctawregional.com,,"janetoddhospital.com,choctawregional.com,artesiageneral.com"
